0.375,0.625,0.5835,0.75,1.0,1.0,0.1665,0.1665,1.0,0.75
0.5,0.75,0.6665,1.0,0.0,0.0,0.8335000000000001,0.8335000000000001,1.0,0.75
0.625,0.875,0.08349999999999999,0.0,1.0,1.0,1.0,1.0,1.0,0.75
0.375,0.5,0.5415,0.5,1.0,1.0,0.6665,0.5415,0.75,0.625
0.25,0.25,0.25,0.0,0.0,0.0,0.1665,0.1665,0.0,0.0
0.375,0.5,0.625,0.5,1.0,1.0,0.3335,0.2085,0.75,0.625
0.25,0.25,0.1665,0.0,0.0,0.0,0.1665,0.1665,0.0,0.0
0.625,0.875,0.08349999999999999,0.0,1.0,1.0,0.6665,0.6665,1.0,0.75
0.5,0.75,0.6665,1.0,0.0,0.0,0.8335000000000001,0.8335000000000001,1.0,0.75
0.375,0.625,0.5835,0.75,1.0,1.0,0.1665,0.1665,1.0,0.75
